name,display_name,fdc_id,calories_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g
chicken_breast_skin_on,Chicken Breast (Skin-On),171474,172.0,20.85,0.0,9.25
chicken_breast_skin_off,Chicken Breast (Skinless),171077,120.0,22.5,0.0,2.62
chicken_thigh_skin_on,Chicken Thigh (Skin-On),172385,221.0,16.52,0.25,16.61
chicken_thigh_skin_off,Chicken Thigh (Skinless),173627,121.0,19.66,0.0,4.12
ground_turkey_93_7,Ground Turkey (93/7),172850,150.0,18.73,0.0,8.34
turkey_breast_skin_off,Turkey Breast (Skinless),171098,114.0,23.66,0.14,1.48
pork_tenderloin,Pork Tenderloin,168312,120.0,20.65,0.0,3.53
pork_chop_center_loin,Pork Chop (Center Loin),168286,201.0,21.14,0.0,12.96
pork_shoulder,Pork Shoulder,167843,236.0,17.18,0.0,17.99
bacon,Bacon,168277,393.0,13.66,0.0,37.13
ground_beef_80_20,Ground Beef (80/20),174036,254.0,17.17,0.0,20.0
chuck_roast_blade_choice,"Chuck Roast (Blade, Choice)",169495,268.0,16.98,0.97,21.31
top_sirloin_choice,Top Sirloin (Choice),168728,214.0,19.92,0.0,14.28
salmon_atlantic_farmed,Atlantic Salmon (Farmed),175167,208.0,20.42,0.0,13.42
canned_tuna_light_water,"Canned Tuna (Light, in Water)",173709,86.0,19.44,0.0,0.96
tilapia,Tilapia,175176,96.0,20.08,0.0,1.7
cod_atlantic,Atlantic Cod,171955,82.0,17.81,0.0,0.67
shrimp,Shrimp,175179,85.0,20.1,0.0,0.51
egg_whole_raw,Whole Egg,171287,143.0,12.56,0.72,9.51
greek_yogurt_nonfat,Greek Yogurt (Nonfat),170894,59.0,10.19,3.6,0.39
cottage_cheese_2pct,Cottage Cheese (2%),172182,81.0,10.45,4.76,2.27
whey_protein_generic,Whey Protein,173180,352.0,78.13,6.25,1.56
whole_milk_vitamin_d,Whole Milk,171265,61.0,3.15,4.8,3.25
tofu_firm,Firm Tofu,172475,144.0,17.27,2.78,8.72
tempeh,Tempeh,174272,192.0,20.29,7.64,10.8
lentils,Lentils,172420,352.0,24.63,63.35,1.06
black_beans,Black Beans,173734,341.0,21.6,62.36,1.42
chickpeas,Chickpeas,173756,378.0,20.47,62.95,6.04
white_rice_enriched,White Rice (Enriched),168877,365.0,7.13,79.95,0.66
brown_rice,Brown Rice,169703,367.0,7.54,76.25,3.2
oats,Rolled Oats,173904,379.0,13.15,67.7,6.52
pasta_dry_enriched,"Pasta (Dry, Enriched)",169736,371.0,13.04,74.67,1.51
pasta_whole_wheat_dry,Whole Wheat Pasta (Dry),169738,352.0,13.87,73.37,2.93
white_bread,White Bread,174924,266.0,8.85,49.42,3.33
whole_wheat_bread,Whole Wheat Bread,172688,252.0,12.45,42.71,3.5
white_potato_russet,Russet Potato,170027,79.0,2.14,18.07,0.08
sweet_potato,Sweet Potato,168482,86.0,1.57,20.12,0.05
quinoa,Quinoa,168874,368.0,14.12,64.16,6.07
tortillas_flour,Flour Tortillas,173242,325.0,8.7,55.6,7.1
